question,document
Is it okay to join the course late if I just found it now?,74eb249bbf
Can I still start the course even if I missed the beginning?,74eb249bbf
"If I join after the course has already started, can I still get a certificate?",74eb249bbf
What do I need to do to be eligible for the certificate if I join now?,74eb249bbf
"Are late enrollments allowed, and is the project deadline the thing that matters for certification?",74eb249bbf
I signed up for LLM Zoomcamp but still didn’t get any confirmation email. Should I be worried?,977bf7786c
Do I need to wait for an acceptance or confirmation message before I can start the LLM Zoomcamp lessons?,977bf7786c
"If I registered for the course, does that mean I’m officially approved, or can I just begin anyway?",977bf7786c
"Is there some list of registered students that the homework checks against, or is registration only for something else?",977bf7786c
"While the registration form is still open, can I start studying and submit homework even if I never got an email back?",977bf7786c
How do I join the Office Hours or live workshop if the Zoom link isn’t shared with students?,489dd1c9d9
Where can I find the live stream link for the course office hours before it starts?,489dd1c9d9
"Can students get the Zoom URL for the live sessions, or is it only for instructors and TAs?",489dd1c9d9
What’s the best way to watch the workshop live and ask questions during the stream?,489dd1c9d9
"If I can’t see the Zoom link, where should I go to follow the session and submit questions?",489dd1c9d9
Where do I begin if I want to start LLM Zoomcamp and keep up with the weekly work?,04919992b3
"What should I read first for the course—docs, logistics, or the GitHub repo?",04919992b3
"Is there a fixed start date for LLM Zoomcamp, or can I jump in anytime?",04919992b3
"What’s the usual order for watching the lessons, doing the notebooks, and turning in homework?",04919992b3
"Do the homework tasks follow the same pattern as the lessons, or are they different in some way?",04919992b3
How do I find my name on the leaderboard if I can't spot myself right away?,c2903069a0
"Why does the leaderboard show a random name for my account, and can I change it?",c2903069a0
Where do I check what my display name is in the course profile?,c2903069a0
"If I want a different nickname on the course, which profile field should I edit?",c2903069a0
What do I need to put in my profile so my certificate doesn't use the default random name?,c2903069a0
Can I take this course on my own schedule and still get the certificate at the end?,69d122f12e
"If I go through the lessons later instead of with the cohort, do I still qualify for a certificate?",69d122f12e
Why isn't there a certificate for people who do the course self-paced?,69d122f12e
"Do I have to be in the live run to get certified, or can self-paced students get it too?",69d122f12e
"Is peer-review required for the certificate, and can that be done after the course is over?",69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework actually required to pass the course, or is the capstone enough?",9f689c185f
Do I need to complete all the homeworks to earn the certificate?,9f689c185f
"If homework isn't mandatory, what do the homework points count toward?",9f689c185f
What do I have to pass in order to get the certificate?,9f689c185f
Why does the homework content keep changing before it's released?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready and not still being edited?,96286b4be4
Is it safe to start the homework early if it still shows as draft?,96286b4be4
When should I expect the homework version to stop changing?,96286b4be4
When is the llm-zoomcamp course going to be offered again after this run?,bd31146b0e
Do you know the next start date for this course?,bd31146b0e
"Is there a planned session coming up for llm-zoomcamp, and when is it?",bd31146b0e
When should I expect the next offering of this course?,bd31146b0e
Will this course run again in Summer 2027?,bd31146b0e
Where do I find the course lectures and videos for LLM Zoomcamp?,31456f4b5f
Is there a main page or repo I should open first to get to the lesson videos?,31456f4b5f
Do the lesson folders in the GitHub repo include the video links at the top?,31456f4b5f
Should I rely on the GitHub repository or the YouTube playlist for the latest course videos?,31456f4b5f
I can’t find the lectures — what’s the best place to start looking in the LLM Zoomcamp materials?,31456f4b5f
How do I keep track of the LLM Zoomcamp syllabus and what’s due next?,20c5a1347e
"Is there a central place to see homework, deadlines, and my progress in LLM Zoomcamp?",20c5a1347e
Where should I go to check the current cohort structure for the LLM Zoomcamp?,20c5a1347e
What platform does LLM Zoomcamp use for managing course info and progress tracking?,20c5a1347e
Is the LLM Zoomcamp course management site the same kind of system used in other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you have live classes or office hours for every module, or is everything just pre-recorded?",d65e05bd7a
Where do I go if I get stuck on a lesson and need help fast?,d65e05bd7a
"Are live sessions part of the course schedule, or do you only announce them sometimes?",d65e05bd7a
Is there any paid option for extra support with regular Zoom office hours?,d65e05bd7a
Do I need to pay for the course if I want the core materials and modules?,d65e05bd7a
Can I count Bluesky posts toward the learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the public learning credit requirement?,dbf5369006
Are Bluesky updates accepted as learning in public evidence?,dbf5369006
"If I share my progress on Bluesky, can that be used for course credits?",dbf5369006
Is Bluesky allowed as a platform for earning learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Is there a Telegram group for course announcements?,054f3fd58f
Where can I find the LLM Zoomcamp Telegram link?,054f3fd58f
Should I use Telegram or Slack for asking technical questions in LLM Zoomcamp?,054f3fd58f
What’s the official Telegram channel for the course updates?,054f3fd58f
